Exercise,Rep Or Time,Difficulty,Type
Normal pushup,Rep,Low,Strength building
Crunches,Rep,Low,Strength building
Standing squats,Rep,Low,Strength building
Lunges,Rep,Low,Strength building
Russian Twist,Rep,Low,Strength building
Burpees,Rep,Low,Strength building
Plank,Time,Low,Strength building
Bulgarian squats,Rep,Low,Strength building
Side planks,Time,Low,Strength building
Mountain climber,Rep,Low,Strength building
Wall sit,Time,Low,Strength building
Standing calf raises,Rep,Low,Strength building
Ski jumps (side to side),Time,Low,Strength building
Sit-ups,Rep,Low,Strength building
Military pushup,Rep,Low,Strength building
Stretches,Time,Low,
Jumping jacks,Time,Low,Strength building
Leg raises (sitting or hanging),Rep,Low,Strength building
Jump squat,Rep,Low,Strength building
Wide pushup,Rep,Low,Strength building
Diamond pushup,Rep,Low,Strength building
Bicycles,Time,Low,
