Theory,Policy
"Several reports suggest that individuals who identify as lesbian, gay, bisexual, transgender, queer, or who hold other marginalized sexual orientation and/or gender identities (LGBTQ+) are overrepresented within the criminal legal system. A major focus of this conversation is that criminological inquiry pays too little attention to sexual orientation and/or gender identities. In particular, some scholars have claimed that no criminological theories can explain the empirical relationship between the LGBTQ+ community and their over-representation within the criminal legal system. For this question, select one (and only one) of the following: a.	Identify a criminological theory that can explain the relationship. How does the theory explain the empirical relationship? Be sure to draw explicit attention to the causal mechanism of the theory that can explain the empirical relationship. 

OR

b.	Explain why no criminological theory can explain the relationship. This response should focus specifically on how sexual orientation and/or gender identity is outside the scope of existing criminological inquiry.","The traditional view is that the criminal justice system responds to crimes after they have occurred. Do you believe the criminal justice system can reduce crimes proactively before they occur? If so, please present a specific example relating to one part of the criminal justice system (i.e., policing, courts/sentencing, corrections, juvenile justice) and discuss the mechanism through which that criminal justice system proactively reduces crime. If not, please identify a scenario where one part of the criminal justice system attempts or appears to proactively affect crime, and discuss why it does not accomplish preventing crimes before they occur. In your answer, be sure to start with a brief description of your example, then move on discussing why it does/does not work to prevent crimes before they occur."
"Many places in the world have experienced extreme weather in recent years. For example, Phoenix had a 31-day streak of highs at or above 110 degrees this summer. As a criminologist, you are asked to speculate how extreme weather, such as extreme heat, may affect crime. Please pick two criminological theories and discuss how they can explain how extreme weather may affect crime. ","Recent statistics show that the racial and ethnic breakdown of the U.S. prison population is disproportionately Black and Hispanic. Choose one component of the criminal justice system (police, courts/sentencing, or corrections) that you believe most contributes to this disparity. Please briefly explain two practices or policies within your chosen component and then provide empirical support for how they contribute to disparities."
"On January 6th, 2021, Trump supporters stormed the U.S. Capitol and interrupted Congress which was in the process of certifying President-elect Joe Biden’s win. Pick two criminological theories and using those theories, explain why some ""law-biding"" citizens were involved in the capitol riot.","Many criminal justice policies and practices have mixed empirical support. In your response, (1) identify and describe one of these policies or practices. Then, (2) describe the conditions or circumstances under which it has been found to be effective, and (3) the conditions or circumstances under which it has been found to be ineffective."
"Criminological theories evolve as society changes. Choose one theory and discuss how changes to society reshaped the theory. In your answer, do the following: 1) briefly describe the parts and assumptions of the theory prior to changing, 2) describe the societal shift that brought about the changes to the theory, and finally, 3) describe how the parts and assumptions of the theory changed after the societal shift. When writing, plan on spending more time on parts 2 and 3.","Criminal justice programs, practices, and policies are designed with the intention of ensuring fair and equal justice in preventing, responding to, and/or correcting criminal behavior. However, sometimes they have consequences that do not align with their intended outcomes. Identify a program, practice, or policy within policing, courts, or corrections that has had a particularly impactful unintended consequence. Please briefly identify the intended consequence(s) of that program, practice, or policy. Then, based on empirical evidence, make the case that the program, practice, or policy had unintended consequences that either positively or negatively impacted criminal justice related outcomes."
"Many theories have been put forth to explain crime, but the popularity of theories may vary over time. In some instances, a theory’s popularity, or lack thereof, may be a product of the social or political context of the time. Identify a theory whose popularity has either increased or decreased. Describe the basic tenets of the theory, and how the broader social, political and/or economic context affected its rise or fall in popularity.","Many criminal justice policies aim to constrain the discretion of key criminal justice actors (e.g., police, prosecutors, judges). One of the motivations driving these efforts to limit discretion is disparity reduction. Policymakers, apparently, believe that racial/ethnic/gender disparities can be reduced, if not eliminated, by limiting the discretionary powers of key criminal justice actors. With the preceding in mind, choose one key criminal justice system actor and then discuss: (1) specific efforts to control that actor’s discretion; (2) evaluate whether these efforts have actually reduced that actor’s discretionary powers; and (3) assess whether these efforts to constrain discretion have reduced racial/ethnic/gender disparities."
"In your opinion, what is the most contentious theory in criminology, and why? First, briefly summarize the basic tenets of your chosen contentious theory. Second, explain why the theory is contentious, making sure to acknowledge any critiques. Third, how would you modify or integrate the theory with another theory (or theories) to address these criticisms?","15 years ago, the journal Criminology & Public Policy created a special issue devoted to policy (2007, Volume 6:4). Editors Todd Clear and Natasha Frost described their efforts in this way: 
 
“The purpose of the essay was to propose that sufficient evidence now exists to support a particular policy in crime and justice. The policy proposition would become the title of the essay, and the body of the essay would contain a pointed summary of the evidence that supported that position. We emphasized that this was not intended as a “big idea” special issue, and its purpose was not to offer innovative or new policies that should be implemented and evaluated; instead, it was to be a complete issue devoted to noted scholars taking the position that we now have enough knowledge about some aspect of crime and justice that a policy is advised.”
 
Please provide your entry for a 2022 edition of this special issue. Please provide a title that is the policy proposition and then present the empirical evidence in support for the position you have taken. Although you may select a similar topic or build upon one from the 2007 edition, please take care to make a unique contribution. "
"Desistance from crime has received increasing theoretical and empirical attention over the past thirty years. Write an essay arguing either a) that one of the traditional theories of crime is adequate to explain desistance, or b) that one new theory developed during this time is essential to explain desistance.","Select one juvenile or criminal justice policy or practice. Describe the underlying logic of this policy/practice and the outcomes it is intended to achieve. Then, use existing scholarship to argue whether the current evidence supports the use of this policy (i.e., is the policy “evidence-based”?)."
"Since the late 1990s, the use of opioids has increased dramatically—becoming one of America’s most pressing public health crises. From 1999 to 2019 nearly 500,000 people died from an opioid overdose. Over 70,000 Americans died from a drug overdose in 2019 and 70% of these deaths involved opioid use. Unlike drug crises in the past, the opioid crisis disproportionately affects people who are older, white, and living in rural areas. First, select at least one criminological theory to explain the opioid crisis, paying particular attention to the population characteristics of those most affected. Second, discuss how the theoretical perspective(s) you select to explain the opioid crisis are similar or different from those that may explain the crack/cocaine epidemic of the late 1980s.","As a criminologist, in a world unbound by resource and time constraints, what is one major change in policy or practice you would propose to improve the efficiency, fairness, or effectiveness of how the criminal justice system functions? Please provide evidence to support why the major change and corresponding policy recommendation you propose is needed. "
"Choose one theory to explain how race is related to crime at the individual level, and then choose another theory to explain how race is related to crime at the contextual level (i.e., neighborhoods, cities, and/or other spatial areas like counties). Lastly, hypothesize on ways these two theories can be linked to provide a more compelling explanation for the link between race and crime.","Discretion is a defining feature of the American criminal justice system. Describe the role and impact of discretion at each phase of the criminal justice system, starting at police contact and working your way through to include re-entry and parole. In your discussion, highlight decision points at each stage of the justice system where discretion has been misused, identify the persons or communities most likely to experience that misuse of discretion, and describe the individual and social consequences of that misuse. "
"Select two theories of individual-level crime causation—one theory that you believe consists of well-defined concepts and a second theory that you believe does not. Please provide a summary of each theory, and then compare the theories emphasizing what you believe are the relative consequences of poor conceptual development while using supporting empirical evidence.","You are the newly elected governor of the great state of Bigotten. Congratulations on your election! However, Bigotten has been suffering from racial strife and protests about racial and ethnic bias in Bigotten’s criminal justice system for weeks in several of the largest urban cities in the state. As a first order of business, you are seeking to reform the criminal justice system. Pick one section of Bigotten’s criminal justice system (e.g., police, courts, juvenile justice, corrections) to reform and start your response with a short discussion of the extent and severity of the racial and ethnic bias in the arm of the criminal justice system you aim to reform (use the US as a proxy for Bigotten). Focus the majority of your response on the following: What changes should the state make to the criminal justice system to address racial/ethnic bias? What evidence is there that your plan will work? And, keep in mind that you are up for reelection in a few years so your plan needs to be actionable within four years of taking office. "
